path|transcript|duration
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_15.wav|جري انك تمشي|3.859
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_16.wav|وتكبي ماشي تمشي وتبقى العائلات كي طلقوا|4.501
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_17.wav|كيبقى الاب كيجي كيشوف وليدات ككوب عرفتي|3.5
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_18.wav|ش كتقطع يعني يذبحك من هنا شكرا لانه مشى|5.339
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_19.wav|الحمد لله لانه مشى لو رجعت ب الوقت للور|3.821
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_21.wav|باباز تعطلت لهذا رسالتي لعيالات يكون|3.579
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_22.wav|الاب كيف ما بغى يكون حافظ الصوره على|3.821
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_24.wav|هو عفراء مرحبا بك الله يبارك فيك شكرا|4.699
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_25.wav|للدعوه شكرا لك انك استجبت لنا الدعوه|3.421
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_27.wav|ن سلام الله|5.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_28.wav|يسلمك احنا|2.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_29.wav|اولدي كونسول اي واح|4.48
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_31.wav|عنست مرتاح دك اول حاجه كنسول الشخص ش هو|4.859
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_34.wav|ممتنع فش انتول مرتاح|4.98
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_35.wav|ديال ان في|2.499
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_37.wav|نفسيا لابسون|2.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_38.wav|مرتاحه مرتاح الحمد|4.341
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_39.wav|لله كقول الحمد|2.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_40.wav|لله من الحمد|3.26
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_41.wav|لله مني كتحطي راسك المخده وك|3.86
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_42.wav|تنعسي الحمد لله|3.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_43.wav|منين كقي في الصباح وتقدري انك تدخلي|3.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_45.wav|الحمد لله مني ك تشربي الماء|3.74
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_46.wav|وترط الحمد لله مني ك تفيقي وتلقي|4.819
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_47.wav|الهدوء هذ كلمه الحمد لله نبقى نقولك ت|5.541
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_49.wav|يعني كامل يعني الصحه هي المهمه|4.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_51.wav|طمانينه هي الراحه بالنسبه|2.979
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_53.wav|طمينه الصراحه ما نقدرش|2.779
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_54.wav|نقول اني مطمئنه 100 لان الاطمئنان كرجع|5.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_55.wav|عن درب حتى كترجع ديك النفس مطمئنه للخالق|3.58
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_56.wav|ديالك واش ست شي مرحله عند عفراء كانت ما|4.701
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_57.wav|مرتاحش مراحل علاش نقولوا مرحله مراحل|5.58
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_58.wav|مراحل كثيره يعني عفراء نقدر نقول ما ما|3.979
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_59.wav|دقت طعم نعم|3.58
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_60.wav|طمانينه ولو بواحد القدر يمكن نقول لك حتى|4.22
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_61.wav|هذذه اربع سنوات او ثلا سنوات لا كان جهاد|5.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_62.wav|قب ما قبل هشي كان جهاد كان جهاد كان|3.14
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_63.wav|طيحات كانوا نوض كانوا كان الام كان غضب|5.501
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_64.wav|كان كان تمرد كان كان بزاف ديال ليسب|5.5
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_65.wav|يعني نقدر نقول انني|3.779
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_66.wav|واحد واحد|3.261
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_68.wav|بزاف كلي ك كنفرح بزاف ورحت|4.981
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_69.wav|بزاف ضحكت بزاف وبكيت|3.38
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_70.wav|بزاف نجحت بزاف وفقدت بزاف|5.2999375
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_71.wav|ماهم الحمد لله اللهم لك الحمد في الاونه|3.1800625
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_72.wav|الاخيره الامور تغيرت بزاف يعني جدا شنو|3.98
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_73.wav|كان السبب|1.5
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_74.wav|ديال التغير شحال هذ في الحياه ش كان|3.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_75.wav|السبب بالضبط|2.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_76.wav|السبب ديال انني كيفاش ولات عندي ه|2.379
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_77.wav|الطمانينه السبب قبل انك قلتي كان بزاف|3.7
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_78.wav|الفرحات تقدر تعطيني شي سبب اللي خلاك|3.061
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_79.wav|اكثر انك ماكنتيش مرتاحه حتى الاواخر قلتي|4.02
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_80.wav|حى سين الاخيره هو الانسان في هذا الدنيا|3.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_81.wav|مايجيش باش|2.099
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_82.wav|يرتاح في الاول يعني|3.781
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_83.wav|الانسان كتكون كتعرف كتكون ك تكتشف كتكون|3.46
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_84.wav|كتشوف الشغف كتشوف صدمات يعني هذ في|2.779
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_85.wav|المنحنى العادي ديال الانسان غير يمكن انا|3.74
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_86.wav|كنت ان اكستريم في الامور ديالي لاني ع شي|3.261
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_87.wav|حوايج كان شي شويه مختلفين على لوكور ديال|2.899
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_88.wav|الانسان العادي اولا الطفله ولا المراهقه|3.541
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_89.wav|ولا الشابه اللي كانت عادي يعني امورها|2.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_90.wav|عاديه لو ستوت ديال الحياه فقط م احنا|5.18
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_91.wav|كانسان بطبيعه الحال ماكينش منلي كتكون|2.939
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_92.wav|ذاك الخط يعني|2.501
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_93.wav|الموت يعني القلب كيضرب فيه طلعت ه بطات|3.379
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_95.wav|ديال الحياه هي اللي كتعطي طعم ل الحياه|3.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_96.wav|دونك فاش كنت طفله وقيلا كان عندك مشاكل|4.459
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_97.wav|اكثر يعني عشتي في مشاكل صعاب هشي اللي|3.421
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_98.wav|فهمت نقدر نقول ماشي مشاكل صعاب يعني ماكن|3.619
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_99.wav|نعتبرهم مشاكل عمري ما قلت باني نعش مشاكل|3.221
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_100.wav|هذ الكلمه كلمه ما كانش في قموس عندي مي|5.539
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_101.wav|عشت عشت حشت مرحله صعيبه يعني ماي مشكله|5.101
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_102.wav|من مرحله يعني الطفوله|3.38
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_103.wav|عشت مرحله مراهقه صعيبه عشت عشت مرحله|4.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_104.wav|يعني اثبات الذات نقدر نقول كان عندي مشكل|3.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_107.wav|فقط مشكله كانش عندي مشاكل كان عندي|3.661
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_108.wav|تحديات تعطنا اكثر|4.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_110.wav|ع اكثر تحدي عشت|3.899
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_113.wav|كانون في حياتي اللي قالتلي مافرش|5.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_114.wav|به قالتها بطريقه اخرى|3.34
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_115.wav|يعنيك غدي نشوفك كديري|3.18
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_116.wav|غدي تندمي عل بعد|4.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_117.wav|بعدو وكان عندي اكثر تحدي لانني كنقول كنت|4.5
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_118.wav|دقت واحد لفل في الحياه وضقت واحد الراحه|4.499
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_119.wav|كانت ياني غاني عاود يود يلا|5.58
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_120.wav|عاود قالتلك الكلمه ش|3.501
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_121.wav|شنو شنو خلات فيك وشنو خلاتك ديري ش ش|5.259
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_122.wav|مثلا شي|2.101
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_123.wav|واحدع نو|5.7
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_124.wav|كت فشلك ولاتزيد|3.499
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_125.wav|تعطيك انك تكمل في ذاكشي اللي كدير|3.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_126.wav|الصراحه للامانه انا من بداي عندي كود|3.46
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_127.wav|واحد باش كانديكو هو ديال الحكره كون|4.901
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_128.wav|قلتها وقلتها وقلتها ولكن في هذك المرحله|3.859
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_129.wav|كانت صعيبه شويه لان لقيت راسي انني عرفتي|4.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_131.wav|هذاي اللي انا بغيتي انا وعاني لقيت راسي|3.501
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_132.wav|خصني نعاود عاوتاني اونيون فش كتكون انت|3.22
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_133.wav|صغيره حيت وانت كت جاهدي ولا وانت كافحي|3.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_134.wav|وعندك 20 عام ولا عندك 18 عام ماشي وتكافح|5.099
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_135.wav|اب الامور ك|2.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_136.wav|تختلف فكان انني|3.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_137.wav|لانع انبسط لك الامور واحد الانسان اللي|3.459
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_138.wav|كيجي كيقولك وريني اش كتعرف دير خما فيونك|5.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_139.wav|هذاك الهامور اللي كان قدامي يعني كان|3.381
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_143.wav|شركه يعني باش نقول|4.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_144.wav|جست ما بح شحال تبيني لعائلتك انك دركت|4.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_145.wav|الدار اللي يروك بها ما عندكمش انك ركبتي|2.941
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_146.wav|في طوموبيل انك جيتي لي فكونهم تحديات|4.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_147.wav|كثيره ولكن كانكي على ق التحدي كان كبير|3.779
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_148.wav|بزاف فهم اويجي باش نشمر|5.501
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_151.wav|كتقول ديك حطيت عت كتكون سك طوموبيل ا|4.18
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_152.wav|كتقول لك حط اللي فيها حطيت اللي عندي|4.14
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_154.wav|لا فاتيج من بعد انك ك تنجح كتكون شي حاجه|3.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_155.wav|احسن الحمد لله جو سولا هذا هو المهم|3.139
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_156.wav|عفراء لاكون الثانيه|3.86
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_157.wav|تعطنا من البدايه من الطفوله ديالها|4.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_158.wav|حتى وتقدر تعطينا كع م|4.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_161.wav|الى الامل وكان هوفي درت كان|5.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_162.wav|منقدام من الالم الى الامل|3.699
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_163.wav|لان في حياتي|3.421
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_165.wav|معلا بنت|2.7
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_166.wav|صغيره يعني نقدر نقول|5.1
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_168.wav|يعني متمرده|5.099
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_169.wav|واجهت الالم بالم اكثر يعني تالمت وزدت|5.501
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_170.wav|تالمت يعني التحديات اللي حضرت لهم ولا|4.26
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_171.wav|اللي عشتهم بحكم ان الاب ديالي زعما مشى|3.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_172.wav|وونغ بقينا غيرنا ويست شافوها الناس ماي|3.139
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_173.wav|هو صلب الموضوع ولكن واجهت الالم بالم|5.021
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_174.wav|اكثر ولا ولا مره عقلت على راسي لعبت دور|3.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_175.wav|الضحيه ولا مره جلست مع راسي وقلت شوفي|3.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_176.wav|انت مسكينه اش كيوقع لك والله العلي|2.459
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_177.wav|العظيم ولا مره شفت راسي بانني هذك|2.821
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_178.wav|الانسانه مسكينه اللي ما عندهاش الزهر ولا|2.86
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_179.wav|مره شفت الشوفه ديال لابيت في عيني الناس|3.5
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_180.wav|دائما كنت كنشوف راسي بانني عرفتي واحد|3.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_181.wav|واحد الحاجه كنشوفها دائما كنشوف في|2.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_182.wav|التصور كيبك ذاك القط الصغير اللي كيشوف|2.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_184.wav|انج ج كنشوف راسي صغيره وكن كنشوف راسي|4.381
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_185.wav|كبيره مع راسي الوره الذاتيه ديتي كانت|3.659
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_186.wav|سبحان الله غ ما كانت لا قرايه لا حى شي|2.621
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_187.wav|حاجه فذاك الوقت يعني ماكينش اللي غ|1.779
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_188.wav|يقوللك خصك تكوني قويه ولا خصك تكوني|3.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_189.wav|بالعكس وفين ما كنخرج المجتمع كيزيد رسن|3.701
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_190.wav|اه انتكم هرب عليكم اه انت هي اه مساكني|5.3
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_191.wav|كنتلا مع ماما ككون خر من البيغ ولا كنكون|3.02
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_192.wav|انا معها ان سمدي مسكينه ايوا مسكين الحاج|3.58
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_193.wav|مشخ داير|3.26
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_194.wav|الجمل انك ولا مره عقلت على راسي دخلت|5.46
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_195.wav|وقلت مسكينه انا شوف شنو دار لنا جامي د|4.219
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_196.wav|جامي منين شفتي ه|3.221
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_198.wav|ماما ماما هي هي انا كنت كنشوف|5.78
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_200.wav|فدي ف|2.5
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_201.wav|ماكوش عند|3.38
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_204.wav|بجوج ديال الوليدات|2.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_205.wav|مع كع الضغوطات ديال المجتمع نقدر نقولك س|3.86
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_206.wav|ككتير لان فش قريت من بعد لقيت بان|3.661
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_207.wav|الانسان ش شكون اللي كيدير الشخصيه دياله|3.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_208.wav|غ انا كتمي كان هناك مدارس كثيره الشخصيه|4.5
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_209.wav|بدات ديجا مني بداو يمكن هذ واحد 700|5.98
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_210.wav|قرن 700 قرن 700 جيع كان نقدر نقولو|5.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_211.wav|الفرنساويه والعربيه يا ربي تعفوا عل|2.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_213.wav|قلتلك بدات مع مع مع علم|3.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_215.wav|اخرى كين اللي كيهضر على الجينات كين|1.9
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_216.wav|كيهضر على كين اللي كيهضر على البيئه انا|4.339
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_217.wav|مع الايبي جينيك يعني الجينات ديولي لعبوا|5.341
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_218.wav|دور والبيئه ديالي|3.22
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_219.wav|لعبت البيئه البيئه انا التحديات كانوا|3.7
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_220.wav|بالنسبه لي هما الدافع الاساسي|2.86
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_222.wav|فيب كان من بعد ولات يعني كنت بنت غيره و|5.821
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_223.wav|كضرب و|3.26
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_225.wav|واح انا مشعي|3.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_226.wav|عندي والله العظيم عندي كان عندي كلب له|5.54
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_227.wav|الدرجه كنقول كركبو الشخصيه ديالنا ولا|3.021
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_228.wav|مثلا الذا بغينا نكونوا بهذا مانغ كتكون|4.42
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_229.wav|سوام فيك حتاش بنادم كيكون مفش كعيش|3.94
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_230.wav|الفشوش يعني كيكون غون ديال حياته انه|3.259
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_231.wav|كيكون م فشاش كيولي باغي ذاكشي بالساهل|3.261
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_232.wav|ملي كدوز الصعوبات في صغرك كتولي الحاجه|2.18
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_233.wav|تبانلك بالي الا بغيتي توصلها را را عندك|2.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_234.wav|ديز ايطا ش هذا الشي اللي وقع لك يعني|2.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_235.wav|دابا المشاكل اللي دزتي في صغرك والفيك|2.899
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_236.wav|اللي دوزتي في صغرك واللي عطانا الشخصيه|3.06
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_237.wav|بطبيعه الحال يعني البيئه كانت علمتني لان|2.941
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_238.wav|الانسان كنقول انا كنامن بمدرسه ليبي|2.62
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_239.wav|جينيك هما المدرسه اللي كتكون كتكون كاين|2.579
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_240.wav|واحد لابار ديال|2.581
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_241.wav|الجينات بونس الجينات اللي لعبوا اثر هما|2.82
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_242.wav|الجينات ديال الاب ديالي حيت باش واحد|4.179
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_243.wav|الاب يقرر انه|3.981
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_246.wav|ماشي تمشي العائلات طلقوا كيبقى الابجي|4.461
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_247.wav|كشوف وليدات|3.019
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_249.wav|لان الوعي دي الوقت الوعي انا بالنسبه لي|4.86
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_250.wav|الاب ديالي خدم خدمني خدمه العمر شكرا|3.421
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_251.wav|لانه مشى الحمد لله لانه مشى لو رجعت بي|4.22
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_252.wav|الوقت للور نقول بابا بوني فاليز بيان اون|2.899
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_253.wav|4 تعطلت اي وي ب|3.74
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_254.wav|س وعلاقتي مع جي طيب دا هضرت مع قبل ما|3.461
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_255.wav|ندخل قال اجي زعما لا انستالي غبا قال دوز|4.939
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_256.wav|قلت بابا ماسالش عندي هذا وغا نمشي م|4.341
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_257.wav|بالعكس تقدري تقول لي كيفاش عودت رجعت|3.66
C:\Users\ASUS\Desktop\dataset\dataset_0\audio_chunk_258.wav|غلاش من بعد|2.779
